26
328777F  63.5  70.1  71.4  61.7  63.4  77.1  61.0  89.4  71.4  61.7  89.1  61.2  60.8  70.7  61.2  71.4  60.8  60.9  66.0  66.6  64.8  67.3  67.1  66.4  60.7   0.0 
343671Q  33.1  54.9  52.5  30.4  33.1  62.3  31.0  82.8  51.0  29.2  82.6  26.9  26.8  49.9  27.4  50.8  27.2  27.0  62.3  58.2  61.0  57.4  63.8  63.1   0.0  60.7 
176091V  63.4  72.7  71.1  61.3  63.3  76.9  60.8  88.9  71.5  62.0  89.1  63.0  62.4  72.4  63.1  72.8  62.8  62.9  29.4  15.5  37.2  16.6  11.3   0.0  63.1  66.4 
361703M  62.3  71.8  71.4  61.3  62.1  77.2  61.3  89.2  71.3  61.7  89.2  63.5  63.3  72.6  63.6  73.1  63.3  63.4  31.4  14.5  37.2  16.4   0.0  11.3  63.8  67.1 
382296T  59.7  69.4  67.7  56.5  59.6  74.8  56.7  88.4  66.9  56.8  88.7  60.4  59.8  70.1  60.4  70.6  60.1  60.2  33.7   3.4  37.7   0.0  16.4  16.6  57.4  67.3 
362711M  61.0  71.0  68.9  59.0  60.8  74.8  58.3  87.9  68.4  58.9  87.8  60.6  60.4  69.9  60.6  70.5  60.4  60.5  41.2  36.1   0.0  37.7  37.2  37.2  61.0  64.8 
402792B  59.5  69.4  68.4  56.6  59.4  74.9  56.5  88.3  67.2  56.1  88.5  59.6  59.5  69.9  59.9  70.6  59.7  59.7  32.1   0.0  36.1   3.4  14.5  15.5  58.2  66.6 
336256D  63.7  72.4  71.1  61.2  63.6  76.5  61.1  88.9  71.3  62.0  89.0  62.1  62.1  71.7  62.3  72.5  62.1  62.2   0.0  32.1  41.2  33.7  31.4  29.4  62.3  66.0 
327999Y  31.3  53.7  52.7  32.2  31.1  61.4  29.6  83.3  52.7  32.3  83.5   2.3   6.5  34.3   0.6  38.1   0.3   0.0  62.2  59.7  60.5  60.2  63.4  62.9  27.0  60.9 
211196P  31.2  53.6  52.9  32.1  31.1  61.3  29.6  83.4  52.9  32.5  83.5   2.2   6.6  34.1   0.5  38.0   0.0   0.3  62.1  59.7  60.4  60.1  63.3  62.8  27.2  60.8 
358758H  51.6  64.9  64.2  52.1  51.5  38.1  50.8  59.3  23.1  53.4  59.4  38.3  34.6  52.8  38.4   0.0  38.0  38.1  72.5  70.6  70.5  70.6  73.1  72.8  50.8  71.4 
340864F  31.5  53.7  52.9  32.5  31.5  61.4  29.6  83.5  53.1  32.9  83.6   1.9   6.9  34.1   0.0  38.4   0.5   0.6  62.3  59.9  60.6  60.4  63.6  63.1  27.4  61.2 
335202Y  51.1  64.0  62.5  52.4  51.1  67.7  50.3  85.3  63.0  52.6  85.3  35.1  37.5   0.0  34.1  52.8  34.1  34.3  71.7  69.9  69.9  70.1  72.6  72.4  49.9  70.7 
332334Q  30.6  53.4  52.4  30.5  30.4  60.9  27.8  83.6  52.8  32.1  83.5   6.4   0.0  37.5   6.9  34.6   6.6   6.5  62.1  59.5  60.4  59.8  63.3  62.4  26.8  60.8 
338348D  31.6  53.8  53.0  32.1  31.6  61.4  29.3  83.4  53.2  32.4  83.5   0.0   6.4  35.1   1.9  38.3   2.2   2.3  62.1  59.6  60.6  60.4  63.5  63.0  26.9  61.2 
344204H  83.5  87.0  66.8  83.1  83.5  42.4  82.7   5.4  53.4  78.7   0.0  83.5  83.5  85.3  83.6  59.4  83.5  83.5  89.0  88.5  87.8  88.7  89.2  89.1  82.6  89.1 
347487A  35.9  54.5  51.6  29.9  35.7  61.4  30.5  78.9  37.5   0.0  78.7  32.4  32.1  52.6  32.9  53.4  32.5  32.3  62.0  56.1  58.9  56.8  61.7  62.0  29.2  61.7 
364588W  52.3  64.9  62.6  50.1  52.3  38.1  50.8  53.7   0.0  37.5  53.4  53.2  52.8  63.0  53.1  23.1  52.9  52.7  71.3  67.2  68.4  66.9  71.3  71.5  51.0  71.4 
204H     83.6  87.0  66.6  83.1  83.6  42.4  82.7   0.0  53.7  78.9   5.4  83.4  83.6  85.3  83.5  59.3  83.4  83.3  88.9  88.3  87.9  88.4  89.2  88.9  82.8  89.4 
355419N  17.2  53.1  41.9  17.3  17.0  48.8   0.0  82.7  50.8  30.5  82.7  29.3  27.8  50.3  29.6  50.8  29.6  29.6  61.1  56.5  58.3  56.7  61.3  60.8  31.0  61.0 
346371B  55.1  69.7  34.2  55.9  55.1   0.0  48.8  42.4  38.1  61.4  42.4  61.4  60.9  67.7  61.4  38.1  61.3  61.4  76.5  74.9  74.8  74.8  77.2  76.9  62.3  77.1 
355829P   0.3  51.2  47.3  22.6   0.0  55.1  17.0  83.6  52.3  35.7  83.5  31.6  30.4  51.1  31.5  51.5  31.1  31.1  63.6  59.4  60.8  59.6  62.1  63.3  33.1  63.4 
403922K  22.7  53.1  43.7   0.0  22.6  55.9  17.3  83.1  50.1  29.9  83.1  32.1  30.5  52.4  32.5  52.1  32.1  32.2  61.2  56.6  59.0  56.5  61.3  61.3  30.4  61.7 
